Дата;Тип;Категория;Описание;Сумма;Местоположение;Способ оплаты;Карта;Время
08.03.2023;Расход;Еда;Ресторан;3200;"Ресторан ""SushiMaster""";Карта MasterCard;**** **** **** 1234;20:45
09.03.2023;Доход;Дивиденды;Дивиденды по акциям;3500;Инвестиционная компания;Банковский перевод;**** **** **** 5678;9:40
10.03.2023;Расход;Транспорт;Такси;500;"Служба такси ""Uber""";Карта Visa;**** **** **** 1234;18:30
01.04.2023;Расход;Еда;Покупка продуктов;4200;"Супермаркет ""Ашан""";Карта Visa;**** **** **** 5678;10:10
02.04.2023;Расход;Транспорт;Заправка топливом;2400;"АЗС ""Газпромнефть""";Карта MasterCard;**** **** **** 1234;14:50
03.04.2023;Расход;Жилье;Аренда квартиры;9800;Управляющая компания;Банковский перевод;**** **** **** 5678;7:55
04.04.2023;Доход;Доход от инвестиций;Доход от акций;800;Инвестиционная компания;Банковский перевод;**** **** **** 1234;16:25
05.04.2023;Расход;Здоровье;Стоматология;2000;"Стоматологическая клиника ""Зубки""";Карта Visa;**** **** **** 5678;11:30
06.04.2023;Расход;Развлечения;Концерт;1300;"Концертный зал ""Музик Холл""";Карта Visa;**** **** **** 1234;21:15
07.04.2023;Доход;Зарплата;Зарплата за март;27000;"ООО ""Компания""";Банковский перевод;**** **** **** 5678;12:10
08.04.2023;Расход;Еда;Ресторан;3000;"Ресторан ""PastaMia""";Карта MasterCard;**** **** **** 1234;19:55
09.04.2023;Доход;Дивиденды;Дивиденды по акциям;4000;Инвестиционная компания;Банковский перевод;**** **** **** 5678;8:40
10.04.2023;Расход;Транспорт;Билеты на поезд;1200;Железнодорожная касса;Карта Visa;**** **** **** 1234;17:30
01.05.2023;Расход;Еда;Покупка продуктов;4700;"Супермаркет ""Перекресток""";Карта Visa;**** **** **** 1234;10:30
02.05.2023;Расход;Транспорт;Билеты на автобус;200;"Автобусная остановка ""Центральная""";Наличные;Наличные;9:00
03.05.2023;Расход;Жилье;Квартплата;8800;Управляющая компания;Банковский перевод;**** **** **** 5678;11:45
04.05.2023;Доход;Доход от инвестиций;Доход от акций;820;Инвестиционная компания;Банковский перевод;**** **** **** 1234;15:20
05.05.2023;Расход;Здоровье;Аптека;450;"Аптека ""Фармалайф""";Карта Visa;**** **** **** 5678;10:50
06.05.2023;Расход;Развлечения;Боулинг;1100;"Боулинг-клуб ""RollingStrike""";Карта Visa;**** **** **** 1234;18:15
07.05.2023;Доход;Зарплата;Зарплата за апрель;27500;"ООО ""Компания""";Банковский перевод;**** **** **** 5678;13:30
08.05.2023;Расход;Еда;Ресторан;3200;"Ресторан ""SteakHouse""";Карта MasterCard;**** **** **** 1234;20:00
09.05.2023;Доход;Дивиденды;Дивиденды по акциям;3600;Инвестиционная компания;Банковский перевод;**** **** **** 5678;8:55
10.05.2023;Расход;Транспорт;Такси;600;"Служба такси ""YandexTaxi""";Карта Visa;**** **** **** 1234;17:40
01.06.2023;Расход;Еда;Покупка продуктов;4800;"Супермаркет ""О'КЕЙ""";Карта MasterCard;**** **** **** 5678;11:10
02.06.2023;Расход;Транспорт;Заправка топливом;2300;"АЗС ""Татнефть""";Карта Visa;**** **** **** 1234;14:35
03.06.2023;Расход;Жилье;Аренда квартиры;9400;Управляющая компания;Банковский перевод;**** **** **** 5678;9:25
04.06.2023;Доход;Доход от инвестиций;Доход от акций;870;Инвестиционная компания;Банковский перевод;**** **** **** 1234;17:15
05.06.2023;Расход;Здоровье;Стоматология;1800;"Стоматологическая клиника ""Зубище""";Карта Visa;**** **** **** 5678;12:40
06.06.2023;Расход;Развлечения;Концерт;1400;"Концертный зал ""RockHall""";Карта MasterCard;**** **** **** 1234;21:30
07.06.2023;Доход;Зарплата;Зарплата за май;28000;"ООО ""Компания""";Банковский перевод;**** **** **** 5678;14:50
08.06.2023;Расход;Еда;Ресторан;3400;"Ресторан ""BurgerZone""";Карта Visa;**** **** **** 1234;19:25
09.06.2023;Доход;Дивиденды;Дивиденды по акциям;3800;Инвестиционная компания;Банковский перевод;**** **** **** 5678;10:05
10.06.2023;Расход;Транспорт;Билеты на поезд;1100;Железнодорожная касса;Карта Visa;**** **** **** 1234;18:10
